num,word,BMC01,BMC02,BMC03,BMC04,BMC05,BMC08,BMC09,BMC10,WMC01,WMC02,WMC03,WMC04,WMC05,WMC07,WMC08,WMC09
81,MOOSE,3,2,1,2,4,1,4,3,2,3,3,3,3,3,3,4
82,NAP,4,3,3,2,2,1,2,3,2,2,2,3,3,3,3,4
83,NOSE,4,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
84,NUT,4,2,2,2,4,1,4,3,2,2,3,3,2,4,3,1
85,OAK,4,2,4,2,4,1,3,3,2,2,3,3,3,3,3,4
86,ODD,3,2,4,2,2,1,3,3,1,2,3,3,3,3,2,4
87,PAGE,4,3,2,2,4,1,3,3,2,3,3,3,3,3,2,4
88,PAIL,3,3,1,2,4,1,2,3,2,3,3,3,3,3,3,3
89,PAIR,3,3,1,2,4,1,3,3,2,3,3,3,3,3,3,4
90,PARK,4,2,1,2,4,1,2,3,2,3,3,3,3,3,3,4
91,PASS,3,2,1,2,1,1,3,3,2,3,3,3,3,3,3,4
92,PAUSE,4,2,3,2,4,1,2,3,2,3,3,3,3,3,3,4
93,PEACE,3,3,3,2,4,1,3,3,2,3,3,3,3,3,3,3
94,PEAK,4,3,1,2,4,2,3,3,2,2,3,3,3,3,3,4
95,PEER,4,3,3,2,4,1,3,3,2,2,3,3,3,3,3,4
96,PEN,3,2,3,2,4,1,2,3,2,3,2,3,3,3,3,4
97,PHASE,4,2,2,2,4,1,2,3,2,2,2,3,3,3,3,4
98,PIE,4,2,2,2,4,1,3,3,2,3,3,3,3,3,3,4
99,PINE,4,2,1,2,4,1,3,3,2,3,3,3,3,3,3,4
100,PLAIN,3,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
101,PLANT,4,2,1,2,4,1,4,3,2,2,3,3,3,3,3,3
102,PLAQUE,4,3,3,1,4,1,2,3,2,2,3,3,3,3,3,4
103,POOR,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,3
104,PORT,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,1
105,POT,4,2,4,2,4,1,2,3,2,3,3,3,3,3,3,4
106,PRAISE,3,2,2,2,4,1,3,3,2,2,2,3,3,3,3,4
107,PRESS,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
108,PRICK,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
109,PRINCE,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,1
110,PROSE,4,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
111,PRUNE,4,2,2,2,4,1,2,3,2,3,3,3,3,3,3,4
112,PURSE,4,2,1,2,4,1,3,2,2,3,3,3,3,3,3,4
113,QUACK,3,2,1,2,4,1,3,3,2,3,3,3,3,3,3,4
114,QUEEN,4,2,2,2,4,1,3,3,2,2,2,3,3,3,3,4
115,RAISE,4,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
116,RANK,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
117,RAP,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
118,RASH,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
119,RING,4,2,4,2,2,1,2,3,2,2,3,3,2,3,3,4
120,RIP,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
121,ROAD,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
122,ROAM,4,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
123,ROCK,3,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
124,ROLL,4,2,2,2,4,1,2,3,2,2,2,3,3,3,3,4
125,ROSE,3,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
126,ROW,3,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
127,SACK,3,2,3,2,4,1,3,3,1,2,3,3,3,3,3,4
128,SAD,4,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
129,SAFE,4,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
130,SAGE,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
131,SAIL,4,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
132,SAUCE,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
133,SCALE,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
134,SCOOP,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
135,SCORE,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
136,SCOTCH,3,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
137,SCRAP,3,2,2,2,4,1,3,3,1,2,3,3,3,3,3,4
138,SCREEN,4,2,1,2,4,3,2,2,2,2,3,3,3,3,3,4
139,SCROLL,4,2,3,2,4,1,4,3,2,2,3,3,3,3,3,4
140,SCUM,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
141,SEED,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
142,SHADE,4,2,1,2,4,1,3,3,2,2,2,3,3,3,3,4
143,SHAG,4,2,1,2,4,1,2,3,1,2,3,3,3,3,3,4
144,SHAPE,3,2,2,1,4,1,3,3,2,2,3,3,3,3,3,4
145,SHARP,4,2,2,1,4,1,2,3,1,2,3,3,3,3,3,4
146,SHEEP,4,3,4,2,4,1,2,3,2,2,3,3,3,3,3,4
147,SHELF,3,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
148,SHRINK,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
149,SIGN,4,2,4,2,4,1,3,3,2,3,3,3,3,3,3,4
150,SKIP,4,3,3,2,4,1,2,3,2,2,3,3,3,3,3,3
