num,word,BFA01,BFA02,BFA03,BFA04,BFC02,BFC03,BFC04,BMA01,BMA02,BMA03,BMC01,BMC02,BMC03,BMC04,BMC05,BMC06,BMC07,BMC08,BMC09,BMC10,WFA01,WFA02,WFC01,WFC03,WMA01,WMA02,WMC01,WMC02,WMC03,WMC04,WMC05,WMC06,WMC07,WMC08,WMC09
36,FIST,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
37,FIX,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
38,FLAG,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
39,FLAKE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
40,FLEA,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
41,FLU,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
42,FOE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
43,FRAME,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
44,FROWN,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
45,FUND,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
46,GATE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
47,GLARE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
48,GRASP,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,1,1,3,3,4
49,GRAZE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
50,GREEK,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
51,GRILL,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
52,GROUND,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
53,GYM,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
54,HAIR,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
55,HALL,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
56,HALT,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
57,HAY,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
58,HEAL,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
59,HERD,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
60,HIVE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
61,HOG,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
62,HOOD,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
63,HORN,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
64,HOUND,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
65,ILL,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
66,INN,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
67,JACK,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
68,JERK,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
69,JOG,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
70,JOINT,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
71,KEG,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
72,KING,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
73,LASH,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
74,LIME,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
75,LOAF,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
76,LOAN,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
77,LOBE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
78,LOW,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
79,MAID,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
80,MAIL,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
81,MAIN,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
82,MARCH,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
83,MARE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
84,MASS,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
85,MEAT,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
86,MIST,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
87,MOLD,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
88,MOLE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
89,MOOSE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
90,NAP,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
91,NOSE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
92,NUT,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
93,OAK,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
94,ODD,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
95,PAGE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
96,PAIL,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
97,PAIR,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
98,PARK,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
99,PASS,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,1,1,3,3,4
100,PAUSE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
101,PEACE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
102,PEAK,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
103,PEER,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
104,PEN,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
105,PHASE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
106,PIE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
107,PINE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
108,PLAIN,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
109,PLANT,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
110,PLAQUE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
111,POOR,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
112,POP,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
113,PORT,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
114,POT,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
115,PRAISE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
116,PRESS,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
117,PRICK,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
118,PRINCE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
119,PROSE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
120,PRUNE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
